video_type	frame_index	timestamp
scene	436	17.431200
scene	437	17.471600
scene	438	17.511600
scene	439	17.551600
scene	440	17.591600
scene	441	17.631600
scene	442	17.672000
scene	443	17.712000
scene	444	17.752000
scene	445	17.792000
scene	446	17.832000
scene	447	17.872000
scene	448	17.912400
scene	449	17.952400
scene	450	17.992400
scene	451	18.032400
scene	452	18.072400
scene	453	18.112800
scene	454	18.152800
scene	455	18.192800
scene	456	18.232800
scene	457	18.272800
scene	458	18.312800
scene	459	18.353200
scene	460	18.393200
scene	461	18.433200
scene	462	18.473200
scene	463	18.513200
scene	464	18.553200
scene	465	18.593600
scene	466	18.633600
scene	467	18.673600
scene	468	18.713600
scene	469	18.753600
scene	470	18.794000
scene	471	18.834000
scene	472	18.874000
scene	473	18.914000
scene	474	18.954000
scene	475	18.994000
scene	476	19.034400
scene	477	19.074400
scene	478	19.114400
scene	479	19.154400
scene	480	19.194400
scene	481	19.234800
scene	482	19.274800
scene	483	19.314800
scene	484	19.354800
scene	485	19.394800
scene	486	19.434800
scene	487	19.475200
scene	488	19.515200
scene	489	19.555200
scene	490	19.595200
scene	491	19.635200
scene	492	19.675600
scene	493	19.715600
scene	494	19.755600
scene	495	19.795600
scene	496	19.835600
scene	497	19.875600
scene	498	19.916000
scene	499	19.956000
scene	500	19.996000
scene	501	20.036000
scene	502	20.076000
scene	503	20.116400
scene	504	20.156400
scene	505	20.196400
scene	506	20.236400
scene	507	20.276400
scene	508	20.316400
scene	509	20.356800
scene	510	20.396800
scene	511	20.436800
scene	512	20.476800
scene	513	20.516800
scene	514	20.557200
scene	515	20.597200
scene	516	20.637200
scene	517	20.677200
scene	518	20.717200
scene	519	20.757200
scene	520	20.797600
scene	521	20.837600
scene	522	20.877600
scene	523	20.917600
scene	524	20.957600
scene	525	20.998000
scene	526	21.038000
scene	527	21.078000
scene	528	21.118000
scene	529	21.158000
scene	530	21.198000
scene	531	21.238400
scene	532	21.278400
scene	533	21.318400
scene	534	21.358400
scene	535	21.398400
