timestamp	magnetometer_x	magnetometer_y	magnetometer_z
5.091320e+01	-5.597e+01	2.229e+02	2.997e+02
5.101476e+01	-5.564e+01	2.227e+02	2.993e+02
5.111632e+01	-5.579e+01	2.226e+02	2.994e+02
5.121788e+01	-5.536e+01	2.234e+02	2.995e+02
5.131945e+01	-5.504e+01	2.228e+02	2.991e+02
5.142101e+01	-5.534e+01	2.231e+02	2.997e+02
5.152260e+01	-5.541e+01	2.226e+02	2.993e+02
5.162423e+01	-5.492e+01	2.229e+02	2.994e+02
5.172573e+01	-5.525e+01	2.233e+02	3.000e+02
5.182726e+01	-5.548e+01	2.231e+02	2.990e+02
5.192888e+01	-5.564e+01	2.232e+02	3.002e+02
5.203041e+01	-5.503e+01	2.230e+02	2.988e+02
5.213191e+01	-5.555e+01	2.224e+02	2.994e+02
5.223347e+01	-5.518e+01	2.230e+02	2.999e+02
5.233500e+01	-5.568e+01	2.230e+02	2.993e+02
5.243660e+01	-5.577e+01	2.231e+02	2.999e+02
5.253816e+01	-5.574e+01	2.230e+02	2.993e+02
5.264003e+01	-5.581e+01	2.232e+02	2.999e+02
5.274128e+01	-5.558e+01	2.233e+02	2.999e+02
5.284285e+01	-5.564e+01	2.234e+02	2.999e+02
5.294441e+01	-5.559e+01	2.231e+02	3.000e+02
5.304597e+01	-5.537e+01	2.233e+02	2.996e+02
5.314753e+01	-5.408e+01	2.226e+02	2.993e+02
5.324907e+01	-5.546e+01	2.233e+02	2.990e+02
5.335066e+01	-5.306e+01	2.231e+02	2.997e+02
5.345222e+01	-5.295e+01	2.222e+02	2.997e+02
5.355385e+01	-5.536e+01	2.230e+02	3.000e+02
5.365586e+01	-5.292e+01	2.224e+02	2.989e+02
5.375682e+01	-5.603e+01	2.227e+02	2.998e+02
5.385844e+01	-5.360e+01	2.220e+02	2.979e+02
5.395994e+01	-5.574e+01	2.231e+02	2.992e+02
5.406151e+01	-5.342e+01	2.222e+02	2.973e+02
5.417094e+01	-5.587e+01	2.229e+02	2.999e+02
5.426466e+01	-5.293e+01	2.220e+02	2.975e+02
5.436619e+01	-5.573e+01	2.230e+02	3.002e+02
5.446773e+01	-5.305e+01	2.221e+02	2.973e+02
5.456947e+01	-5.560e+01	2.229e+02	3.005e+02
5.467866e+01	-5.289e+01	2.222e+02	2.971e+02
5.478807e+01	-5.549e+01	2.228e+02	2.990e+02
5.488966e+01	-5.328e+01	2.222e+02	2.974e+02
5.499119e+01	-5.564e+01	2.228e+02	2.997e+02
5.509276e+01	-5.324e+01	2.217e+02	2.974e+02
5.519432e+01	-5.557e+01	2.230e+02	3.003e+02
5.529588e+01	-5.315e+01	2.220e+02	2.975e+02
5.539748e+01	-5.575e+01	2.236e+02	2.996e+02
5.549907e+01	-5.332e+01	2.224e+02	2.970e+02
5.560061e+01	-5.617e+01	2.232e+02	3.001e+02
5.570223e+01	-5.392e+01	2.222e+02	2.970e+02
5.580376e+01	-5.515e+01	2.229e+02	3.001e+02
5.590532e+01	-5.571e+01	2.220e+02	2.971e+02
5.600686e+01	-5.586e+01	2.231e+02	2.997e+02
5.610845e+01	-5.621e+01	2.225e+02	2.975e+02
5.621001e+01	-5.565e+01	2.230e+02	2.989e+02
5.631160e+01	-5.564e+01	2.228e+02	2.975e+02
5.641314e+01	-5.598e+01	2.231e+02	3.002e+02
5.651470e+01	-5.607e+01	2.227e+02	2.988e+02
5.661629e+01	-5.586e+01	2.230e+02	3.001e+02
5.671789e+01	-5.548e+01	2.229e+02	2.997e+02
5.681939e+01	-5.581e+01	2.223e+02	3.003e+02
5.692095e+01	-5.618e+01	2.226e+02	3.000e+02
5.702243e+01	-5.537e+01	2.224e+02	2.999e+02
5.712412e+01	-5.602e+01	2.233e+02	3.000e+02
5.722556e+01	-5.592e+01	2.229e+02	2.999e+02
5.732709e+01	-5.609e+01	2.227e+02	2.998e+02
5.743650e+01	-5.573e+01	2.226e+02	2.998e+02
5.753028e+01	-5.586e+01	2.225e+02	2.995e+02
5.763202e+01	-5.577e+01	2.228e+02	2.996e+02
5.773337e+01	-5.606e+01	2.227e+02	2.997e+02
5.783493e+01	-5.551e+01	2.234e+02	2.997e+02
5.793650e+01	-5.562e+01	2.229e+02	2.997e+02
5.804001e+01	-5.575e+01	2.228e+02	2.991e+02
5.813962e+01	-5.557e+01	2.224e+02	2.997e+02
5.824118e+01	-5.625e+01	2.228e+02	3.000e+02
5.834275e+01	-5.557e+01	2.225e+02	2.998e+02
5.844428e+01	-5.593e+01	2.226e+02	2.996e+02
5.854593e+01	-5.615e+01	2.227e+02	2.993e+02
5.864735e+01	-5.559e+01	2.227e+02	2.994e+02
5.874891e+01	-5.545e+01	2.227e+02	2.994e+02
5.885045e+01	-5.582e+01	2.226e+02	3.001e+02
5.895198e+01	-5.580e+01	2.228e+02	3.003e+02
5.905357e+01	-5.591e+01	2.226e+02	2.997e+02
5.915510e+01	-5.607e+01	2.233e+02	2.995e+02
5.925670e+01	-5.521e+01	2.231e+02	2.996e+02
5.935829e+01	-5.503e+01	2.233e+02	2.997e+02
5.945982e+01	-5.523e+01	2.230e+02	3.001e+02
5.956221e+01	-5.397e+01	2.231e+02	3.003e+02
5.966298e+01	-5.606e+01	2.227e+02	2.993e+02
5.976527e+01	-5.337e+01	2.222e+02	2.998e+02
5.986607e+01	-5.585e+01	2.227e+02	3.000e+02
5.996769e+01	-5.341e+01	2.221e+02	2.997e+02
6.006920e+01	-5.535e+01	2.228e+02	2.999e+02
6.017079e+01	-5.320e+01	2.221e+02	2.988e+02
6.027242e+01	-5.557e+01	2.226e+02	3.002e+02
6.037419e+01	-5.341e+01	2.219e+02	2.984e+02
6.047554e+01	-5.569e+01	2.226e+02	2.998e+02
6.057713e+01	-5.331e+01	2.218e+02	2.977e+02
6.067867e+01	-5.576e+01	2.228e+02	2.999e+02
6.078023e+01	-5.364e+01	2.216e+02	2.971e+02
6.088179e+01	-5.656e+01	2.230e+02	3.002e+02
6.098338e+01	-5.313e+01	2.217e+02	2.971e+02
6.109309e+01	-5.581e+01	2.224e+02	3.000e+02
6.119432e+01	-5.393e+01	2.223e+02	2.974e+02
6.129634e+01	-5.581e+01	2.228e+02	2.999e+02
6.139745e+01	-5.355e+01	2.221e+02	2.974e+02
6.149901e+01	-5.613e+01	2.227e+02	2.999e+02
6.160054e+01	-5.381e+01	2.220e+02	2.973e+02
6.170217e+01	-5.669e+01	2.228e+02	3.002e+02
6.180391e+01	-5.355e+01	2.220e+02	2.977e+02
6.190519e+01	-5.609e+01	2.227e+02	2.999e+02
6.200672e+01	-5.496e+01	2.219e+02	2.972e+02
6.210841e+01	-5.667e+01	2.231e+02	3.000e+02
