Time	Gaze X	Gaze Y	Left Pupil	Right Pupil
116.46257	0.459258573	0.541974616	2.683690548	
116.482549	0.457757958	0.547204558	2.677044868	
116.502643	0.459050505	0.547881002	2.67438364	
116.522622	0.476686009	0.538343177	2.681735754	
116.542715	0.476817869	0.536515388	2.673683405	
116.562695	0.474735648	0.532129934	2.650166035	
116.582788	0.472863528	0.517375184	2.661064625	
116.602767	0.473480708	0.515515035	2.656088352	
116.622861	0.518480596	0.540655301	2.647964716	3.051232815
116.642839	0.476615467	0.507627607	2.649768829	
116.662933	0.479147753	0.506297737	2.655720711	
116.682912	0.481291835	0.506802638	2.648263216	
116.703006	0.484492338	0.506155015	2.655940771	
116.722985	0.487451288	0.505072492	2.660943508	
116.743078	0.496309357	0.496542114	2.694921017	
116.763057	0.5005323	0.49178626	2.712869406	
116.78315	0.498770311	0.494844667	2.700806141	
116.80313	0.497965786	0.495512152	2.696608305	
116.823223	0.497908374	0.495100828	2.697039127	
116.843202	0.497879183	0.494216653	2.699695349	
116.863296	0.498597765	0.49140205	2.708258867	
116.883275	0.499553284	0.487903937	2.722991228	
116.903368	0.500598581	0.484683519	2.733961344	
116.923347	0.500537716	0.481692999	2.746012211	
116.94344	0.500518126	0.48053719	2.75213027	
116.963419	0.500162632	0.478932761	2.759612799	
116.983513	0.500163798	0.475167037	2.775058031	
117.003492	0.499840905	0.473427407	2.782028675	
117.023586	0.512118642	0.505112202	2.791539192	3.001425266
117.043565	0.523693809	0.51700931	2.797982454	3.136036158
117.063658	0.492933293	0.475836644	2.801796675	
117.083638	0.494079452	0.474472612	2.811339855	
117.10373	0.494872334	0.473591966	2.815871954	
117.12371	0.498599427	0.500542394	2.813648701	3.14042592
117.143803	0.483440463	0.500700223	2.815269947	3.181396961
117.163782	0.474719926	0.500873104	2.824653625	3.211568594
117.183875	0.46996535	0.500896757	2.83349824	3.239656925
117.203855	0.46775408	0.500746051	2.847409487	3.259999514
117.223948	0.468366843	0.483087039	2.854212999	
117.243927	0.469396606	0.48233751	2.857950449	
117.26402	0.465256423	0.497315518	2.860443592	3.302982092
117.283999	0.463550388	0.496396599	2.861386299	3.32167244
117.304093	0.462457487	0.496017454	2.860837698	3.330138683
117.324072	0.462290831	0.495459773	2.865214348	3.337526083
117.344165	0.471947255	0.479414342	2.870243549	
117.364145	0.462613152	0.494542023	2.875118732	3.349518299
117.384238	0.472272203	0.479087939	2.879960299	
117.404217	0.472275075	0.479485446	2.878824234	
117.424311	0.472456534	0.479601815	2.880326271	
117.44429	0.472611473	0.479599167	2.882411718	
117.464383	0.472635462	0.479728063	2.88567996	
117.484362	0.472410698	0.480402378	2.886196375	
117.504455	0.472739456	0.481201752	2.886882544	
117.524435	0.473600077	0.481697997	2.889809608	
117.544528	0.47445444	0.482888055	2.890071154	
117.564507	0.47354728	0.484734067	2.896090984	
